Ticker,Price,Quarter,Qtrs,SMI,Stoch %K,Stoch %D,Stoch Avg,RSI,RSI Sig,Crossover
CAL,14.56,2026-06-30,81,-39.63,10.0,6.42,8.21,44.05,41.06,RSI > Signal
PD,9.95,2026-06-30,29,-38.56,7.85,7.95,7.9,33.95,33.25,RSI > Signal
AI,10.77,2026-06-30,23,-38.22,5.97,12.35,9.16,21.48,21.24,RSI > Signal
PSFE,7.73,2026-06-30,23,-37.91,6.81,7.6,7.2,8.48,8.03,RSI > Signal
MEI,11.54,2026-06-30,81,-37.87,7.52,6.27,6.89,42.39,37.23,"Stoch %K > %D, RSI > Signal"
TBI,6.21,2026-06-30,81,-37.52,8.89,8.13,8.51,36.69,33.56,"Stoch %K > %D, RSI > Signal"
NSP,34.47,2026-06-30,81,-37.44,11.31,8.71,10.01,38.39,38.92,Stoch %K > %D
FUN,21.01,2026-06-30,81,-37.31,11.96,8.6,10.28,41.01,40.11,RSI > Signal
TFX,128.64,2026-06-30,81,-36.74,13.5,9.8,11.65,39.0,37.68,RSI > Signal
EAF,9.98,2026-06-30,33,-36.58,8.42,8.46,8.44,31.8,30.9,RSI > Signal
ATKR,82.81,2026-06-30,41,-35.95,13.93,11.41,12.67,51.16,46.84,"Stoch %K > %D, RSI > Signal"
SRI,7.47,2026-06-30,81,-35.71,11.44,12.5,11.97,39.79,37.08,RSI > Signal
SKLZ,9.37,2026-06-30,25,-35.15,14.27,7.15,10.71,35.73,34.88,RSI > Signal
BOC,12.88,2026-06-30,37,-35.12,7.51,6.25,6.88,44.42,43.86,"Stoch %K > %D, RSI > Signal"
GPN,75.51,2026-06-30,81,-34.84,12.28,15.12,13.7,41.47,40.77,RSI > Signal
RMAX,9.54,2026-06-30,51,-34.17,8.96,7.3,8.13,40.72,37.09,"Stoch %K > %D, RSI > Signal"
HRL,23.23,2026-06-30,81,-33.33,11.64,9.46,10.55,36.21,36.75,Stoch %K > %D
COLD,15.69,2026-06-30,34,-33.26,17.61,11.13,14.37,45.66,40.91,RSI > Signal
